Date,Production,Year,Month,Production_Lag_1,Production_Lag_2,Production_Lag_3
1920-04-15,1165,1920,4,1167.0,1145.0,1097.0
1920-05-15,1181,1920,5,1165.0,1167.0,1145.0
1920-06-15,1222,1920,6,1181.0,1165.0,1167.0
1920-07-15,1218,1920,7,1222.0,1181.0,1165.0
1920-08-15,1255,1920,8,1218.0,1222.0,1181.0
1920-09-15,1251,1920,9,1255.0,1218.0,1222.0
1920-10-15,1277,1920,10,1251.0,1255.0,1218.0
1920-11-15,1287,1920,11,1277.0,1251.0,1255.0
1920-12-15,1257,1920,12,1287.0,1277.0,1251.0
1921-01-15,1230,1921,1,1257.0,1287.0,1277.0
1921-02-15,1269,1921,2,1230.0,1257.0,1287.0
1921-03-15,1326,1921,3,1269.0,1230.0,1257.0
1921-04-15,1341,1921,4,1326.0,1269.0,1230.0
1921-05-15,1361,1921,5,1341.0,1326.0,1269.0
1921-06-15,1352,1921,6,1361.0,1341.0,1326.0
1921-07-15,1305,1921,7,1352.0,1361.0,1341.0
1921-08-15,1326,1921,8,1305.0,1352.0,1361.0
1921-09-15,1225,1921,9,1326.0,1305.0,1352.0
1921-10-15,1156,1921,10,1225.0,1326.0,1305.0
1921-11-15,1270,1921,11,1156.0,1225.0,1326.0
1921-12-15,1360,1921,12,1270.0,1156.0,1225.0
1922-01-15,1410,1922,1,1360.0,1270.0,1156.0
1922-02-15,1476,1922,2,1410.0,1360.0,1270.0
1922-03-15,1522,1922,3,1476.0,1410.0,1360.0
1922-04-15,1506,1922,4,1522.0,1476.0,1410.0
1922-05-15,1516,1922,5,1506.0,1522.0,1476.0
1922-06-15,1536,1922,6,1516.0,1506.0,1522.0
1922-07-15,1520,1922,7,1536.0,1516.0,1506.0
1922-08-15,1518,1922,8,1520.0,1536.0,1516.0
1922-09-15,1527,1922,9,1518.0,1520.0,1536.0
1922-10-15,1562,1922,10,1527.0,1518.0,1520.0
1922-11-15,1601,1922,11,1562.0,1527.0,1518.0
1922-12-15,1634,1922,12,1601.0,1562.0,1527.0
1923-01-15,1694,1923,1,1634.0,1601.0,1562.0
1923-02-15,1735,1923,2,1694.0,1634.0,1601.0
1923-03-15,1838,1923,3,1735.0,1694.0,1634.0
1923-04-15,1967,1923,4,1838.0,1735.0,1694.0
1923-05-15,2012,1923,5,1967.0,1838.0,1735.0
1923-06-15,2095,1923,6,2012.0,1967.0,1838.0
1923-07-15,2127,1923,7,2095.0,2012.0,1967.0
1923-08-15,2143,1923,8,2127.0,2095.0,2012.0
1923-09-15,2177,1923,9,2143.0,2127.0,2095.0
1923-10-15,2178,1923,10,2177.0,2143.0,2127.0
1923-11-15,2180,1923,11,2178.0,2177.0,2143.0
1923-12-15,1921,1923,12,2180.0,2178.0,2177.0
1924-01-15,1848,1924,1,1921.0,2180.0,2178.0
1924-02-15,1927,1924,2,1848.0,1921.0,2180.0
1924-03-15,1940,1924,3,1927.0,1848.0,1921.0
1924-04-15,1994,1924,4,1940.0,1927.0,1848.0
1924-05-15,1995,1924,5,1994.0,1940.0,1927.0
1924-06-15,1986,1924,6,1995.0,1994.0,1940.0
1924-07-15,1998,1924,7,1986.0,1995.0,1994.0
1924-08-15,2013,1924,8,1998.0,1986.0,1995.0
1924-09-15,2013,1924,9,2013.0,1998.0,1986.0
1924-10-15,1951,1924,10,2013.0,2013.0,1998.0
1924-11-15,1893,1924,11,1951.0,2013.0,2013.0
1924-12-15,1853,1924,12,1893.0,1951.0,2013.0
1925-01-15,1736,1925,1,1853.0,1893.0,1951.0
1925-02-15,1735,1925,2,1736.0,1853.0,1893.0
1925-03-15,1729,1925,3,1735.0,1736.0,1853.0
1925-04-15,1730,1925,4,1729.0,1735.0,1736.0
1925-05-15,1722,1925,5,1730.0,1729.0,1735.0
1925-06-15,1731,1925,6,1722.0,1730.0,1729.0
1925-07-15,1682,1925,7,1731.0,1722.0,1730.0
1925-08-15,1684,1925,8,1682.0,1731.0,1722.0
1925-09-15,1719,1925,9,1684.0,1682.0,1731.0
1925-10-15,1670,1925,10,1719.0,1684.0,1682.0
1925-11-15,1664,1925,11,1670.0,1719.0,1684.0
1925-12-15,1601,1925,12,1664.0,1670.0,1719.0
1926-01-15,1935,1926,1,1601.0,1664.0,1670.0
1926-02-15,1960,1926,2,1935.0,1601.0,1664.0
1926-03-15,1964,1926,3,1960.0,1935.0,1601.0
1926-04-15,2012,1926,4,1964.0,1960.0,1935.0
1926-05-15,2027,1926,5,2012.0,1964.0,1960.0
1926-06-15,2060,1926,6,2027.0,2012.0,1964.0
1926-07-15,2102,1926,7,2060.0,2027.0,2012.0
1926-08-15,2162,1926,8,2102.0,2060.0,2027.0
1926-09-15,2193,1926,9,2162.0,2102.0,2060.0
1926-10-15,2247,1926,10,2193.0,2162.0,2102.0
